Date,CPA,conversion_rate,CPC,CPE,clicks,impressions,purchases,spend,AOV,ROAS,RPC,revenue
2023-05-05 00:00:00,73.25,0.01136,0.8323863636363636,0.013354603463992707,88,32568,1,73.25,210.5,2.8737201365187715,2.3920454545454546,210.5
2023-05-10 00:00:00,40.84666666666667,0.01796,0.7337724550898204,0.01709542410714286,167,54898,3,122.54,1818.4366666666667,44.51860616941407,32.66652694610779,5455.31
2023-05-12 00:00:00,12.342,0.06289,0.7762264150943397,0.017341576506955177,159,52750,10,123.42,77.812,6.304650785934208,4.8938364779874215,778.12
2023-05-13 00:00:00,39.42,0.02609,1.0283478260869565,0.016138100436681225,115,52535,3,118.26,58.82,1.4921359715880265,1.5344347826086957,176.46
2023-05-14 00:00:00,61.46,0.01653,1.0158677685950412,0.016291583830351227,121,58759,2,122.92,56.245000000000005,0.9151480637813213,0.9296694214876033,112.49000000000001
2023-05-15 00:00:00,27.6475,0.03922,1.0842156862745098,0.014431684718778547,102,53385,4,110.59,329.5225,11.918708744009402,12.922450980392156,1318.09
2023-05-16 00:00:00,56.75,0.02381,1.3511904761904763,0.015936534681269307,84,51527,2,113.5,58.81,1.0362995594713658,1.4002380952380953,117.62
2023-05-17 00:00:00,110.9,0.01124,1.246067415730337,0.01678268765133172,89,47891,1,110.9,59.12,0.533092876465284,0.6642696629213483,59.12
2023-05-18 00:00:00,24.346666666666668,0.04348,1.0585507246376813,0.019703264094955493,69,25487,3,73.04,74.67333333333333,3.0670865279299013,3.246666666666667,224.02
2023-05-19 00:00:00,10.116,0.06410,0.6484615384615384,0.02117203850983675,78,15855,5,50.58,48.852,4.829181494661921,3.1315384615384616,244.26
2023-05-22 00:00:00,14.9675,0.04878,0.7301219512195122,0.01969407894736842,82,20699,4,59.87,108.6875,7.261566727910473,5.301829268292683,434.75
2023-05-24 00:00:00,20.75,0.04054,0.8412162162162162,0.021727748691099478,74,19421,3,62.25,78.51,3.7836144578313253,3.182837837837838,235.53
2023-05-25 00:00:00,20.223333333333333,0.03448,0.6973563218390805,0.023524621946490888,87,18233,3,60.67,129.98,6.427229273116861,4.482068965517241,389.94
2023-05-26 00:00:00,64.55,0.01351,0.8722972972972972,0.025393391030684498,74,18328,1,64.55,60.25,0.9333849728892332,0.8141891891891891,60.25
2023-05-27 00:00:00,31.98,0.02381,0.7614285714285715,0.023973013493253374,84,19170,2,63.96,116.755,3.6508755472170105,2.7798809523809522,233.51
2023-05-29 00:00:00,59.64,0.01176,0.7016470588235294,0.02304482225656878,85,21500,1,59.64,43.82,0.7347417840375586,0.5155294117647059,43.82
2023-05-30 00:00:00,23.53333333333333,0.03297,0.7758241758241757,0.027708006279434847,91,25106,3,70.6,133.66,5.679603399433428,4.406373626373626,400.97999999999996
2023-05-31 00:00:00,35.225,0.01852,0.6523148148148148,0.027498048399687745,108,25299,2,70.45,177.285,5.032931156848829,3.2830555555555554,354.57
2023-06-01 00:00:00,72.21,0.00901,0.6505405405405404,0.06903441682600382,111,33559,1,72.21,97.16,1.345520011078798,0.8753153153153153,97.16
2023-06-02 00:00:00,73.27,0.00833,0.6105833333333333,0.06524487978628672,120,31539,1,73.27,51.39,0.7013784632182339,0.42825,51.39
2023-06-03 00:00:00,73.27,0.00763,0.5593129770992367,0.09861372812920592,131,30895,1,73.27,172.17,2.349802101815204,1.3142748091603051,172.17
2023-06-04 00:00:00,74.53,0.00685,0.5104794520547945,0.10237637362637363,146,32786,1,74.53,88.96,1.1936133100764792,0.6093150684931506,88.96
2023-06-05 00:00:00,75.14,0.00741,0.5565925925925926,0.09096852300242131,135,31844,1,75.14,59.3,0.7891935054564811,0.43925925925925924,59.3
2023-06-06 00:00:00,24.74,0.01961,0.4850980392156863,0.08521239954075775,153,30614,3,74.22,85.15333333333332,3.4419293990838047,1.669673202614379,255.45999999999998
2023-06-07 00:00:00,36.54,0.01754,0.6410526315789473,0.09744,114,29516,2,73.08,74.13499999999999,2.028872468527641,1.3006140350877191,148.26999999999998
2023-06-09 00:00:00,35.12,0.01587,0.5574603174603174,0.10610271903323262,126,27604,2,70.24,74.49,2.1210136674259683,1.1823809523809523,148.98
2023-06-10 00:00:00,73.98,0.00787,0.5825196850393701,0.10583690987124464,127,29623,1,73.98,89.5,1.2097864287645308,0.7047244094488189,89.5
2023-06-11 00:00:00,77.6,0.00885,0.6867256637168141,0.10210526315789473,113,32045,1,77.6,89.5,1.1533505154639176,0.7920353982300885,89.5
2023-06-13 00:00:00,71.66,0.00862,0.6177586206896551,0.09391874180865006,116,27863,1,71.66,59.64,0.8322634663689646,0.5141379310344828,59.64
2023-06-14 00:00:00,72.97,0.00719,0.5249640287769785,0.09452072538860104,139,28050,1,72.97,59.64,0.8173221872002193,0.42906474820143886,59.64
2023-06-15 00:00:00,72.23,0.00694,0.5015972222222222,0.09119949494949496,144,27946,1,72.23,164.32,2.2749550048456317,1.141111111111111,164.32
2023-06-16 00:00:00,36.52,0.01835,0.6700917431192661,0.09897018970189703,109,28157,2,73.04,54.51,1.4926067907995617,1.0001834862385321,109.02
2023-06-17 00:00:00,73.66,0.00826,0.6087603305785124,0.08184444444444444,121,28719,1,73.66,52.73,0.715856638609829,0.43578512396694213,52.73
2023-06-19 00:00:00,65.61,0.00917,0.6019266055045871,0.09866165413533834,109,26381,1,65.61,105.46,1.607376924249352,0.9675229357798164,105.46
2023-06-21 00:00:00,73.24,0.00787,0.5766929133858267,0.09857335127860026,127,28690,1,73.24,49.6,0.6772255598033862,0.3905511811023622,49.6
2023-06-25 00:00:00,39.475,0.01653,0.6524793388429753,0.08880764904386952,121,34775,2,78.95,105.94,2.683723875870804,1.7510743801652893,211.88
2023-07-02 00:00:00,25.485,0.01802,0.45918918918918916,0.05694972067039106,111,12637,2,50.97,60.06,2.3566804002354327,1.0821621621621622,120.12
2023-07-06 00:00:00,9.946,0.04673,0.4647663551401869,0.04533272561531449,107,13531,5,49.73,142.24200000000002,14.301427709632014,6.646822429906543,711.21
2023-07-07 00:00:00,47.98,0.00926,0.44425925925925924,0.05732377538829151,108,14438,1,47.98,44.75,0.9326802834514382,0.41435185185185186,44.75
2023-07-09 00:00:00,53.8,0.00870,0.4678260869565217,0.061345496009122,115,13287,1,53.8,58.11,1.0801115241635688,0.5053043478260869,58.11
2023-07-10 00:00:00,51.19,0.00935,0.478411214953271,0.06726675427069645,107,13871,1,51.19,119.94,2.34303574916976,1.1209345794392522,119.94
2023-07-11 00:00:00,12.5625,0.05000,0.628125,0.07346491228070176,80,13943,4,50.25,650.2800000000001,51.763582089552244,32.514,2601.1200000000003
2023-07-12 00:00:00,48.43,0.01010,0.4891919191919192,0.0725,99,12953,1,48.43,60.29,1.244889531282263,0.608989898989899,60.29
2023-07-18 00:00:00,50.5,0.00578,0.29190751445086704,0.04316239316239316,173,9196,1,50.5,51.25,1.0148514851485149,0.29624277456647397,51.25
2023-07-20 00:00:00,24.805,0.01242,0.30813664596273294,0.045681399631675876,161,8274,2,49.61,60.475,2.43801652892562,0.7512422360248447,120.95
2023-07-23 00:00:00,53.36,0.00588,0.31388235294117645,0.044915824915824916,170,9558,1,53.36,954.82,17.89392803598201,5.616588235294118,954.82
